CompanionID,VisitID,CompanionType
749,1857,혼자 왔다
750,1858,혼자 왔다
751,1859,혼자 왔다
752,1865,혼자 왔다
753,1868,혼자 왔다
754,1879,혼자 왔다
755,1884,혼자 왔다
756,1885,혼자 왔다
757,1886,혼자 왔다
758,1887,혼자 왔다
759,1891,혼자 왔다
760,1892,혼자 왔다
761,1895,혼자 왔다
762,1896,혼자 왔다
763,1898,혼자 왔다
764,1903,혼자 왔다
765,1907,혼자 왔다
766,1909,혼자 왔다
767,1912,혼자 왔다
768,1913,혼자 왔다
769,1918,혼자 왔다
770,1923,혼자 왔다
771,1926,혼자 왔다
772,1927,혼자 왔다
773,1929,혼자 왔다
774,1930,혼자 왔다
775,1936,혼자 왔다
776,1942,혼자 왔다
777,1945,혼자 왔다
778,1946,혼자 왔다
779,1948,혼자 왔다
780,1949,혼자 왔다
781,1950,혼자 왔다
782,1963,혼자 왔다
783,1976,혼자 왔다
784,1977,혼자 왔다
785,1978,혼자 왔다
786,1984,혼자 왔다
787,1994,혼자 왔다
788,1995,혼자 왔다
789,1998,혼자 왔다
790,2002,혼자 왔다
791,2006,혼자 왔다
792,2008,혼자 왔다
793,2009,혼자 왔다
794,2012,혼자 왔다
795,2021,혼자 왔다
796,2022,혼자 왔다
797,2023,혼자 왔다
798,2026,혼자 왔다
799,2029,혼자 왔다
800,2030,혼자 왔다
801,2031,혼자 왔다
802,2033,혼자 왔다
803,2034,혼자 왔다
804,2036,혼자 왔다
805,2037,혼자 왔다
806,2039,혼자 왔다
807,2040,혼자 왔다
808,2043,혼자 왔다
809,2045,혼자 왔다
810,2046,혼자 왔다
811,2047,혼자 왔다
812,2048,혼자 왔다
813,2049,혼자 왔다
814,2050,혼자 왔다
815,2057,혼자 왔다
816,2058,혼자 왔다
817,2059,혼자 왔다
818,2060,혼자 왔다
819,2064,혼자 왔다
820,2067,혼자 왔다
821,2069,혼자 왔다
822,2070,혼자 왔다
823,2071,혼자 왔다
824,2072,혼자 왔다
825,2075,혼자 왔다
826,2079,혼자 왔다
827,2081,혼자 왔다
828,2090,혼자 왔다
829,2095,혼자 왔다
830,2101,혼자 왔다
831,2103,혼자 왔다
832,2113,혼자 왔다
833,2117,혼자 왔다
834,2121,혼자 왔다
835,2122,혼자 왔다
836,2125,혼자 왔다
837,2126,혼자 왔다
838,2127,혼자 왔다
839,2128,혼자 왔다
840,2130,혼자 왔다
841,2142,혼자 왔다
842,2152,혼자 왔다
843,2156,혼자 왔다
844,2161,혼자 왔다
845,2165,혼자 왔다
846,2168,혼자 왔다
847,2170,혼자 왔다
848,2175,혼자 왔다
849,2186,혼자 왔다
850,2188,혼자 왔다
851,2189,혼자 왔다
852,2190,혼자 왔다
853,2195,혼자 왔다
854,2202,혼자 왔다
855,2204,혼자 왔다
856,2211,혼자 왔다
857,2212,혼자 왔다
858,2213,혼자 왔다
859,2215,혼자 왔다
860,2216,혼자 왔다
861,2218,혼자 왔다
862,2221,혼자 왔다
863,2226,혼자 왔다
864,2251,혼자 왔다
865,2260,혼자 왔다
866,2266,혼자 왔다
867,2269,혼자 왔다
868,2272,혼자 왔다
869,2274,혼자 왔다
870,2280,혼자 왔다
871,2285,혼자 왔다
872,2293,혼자 왔다
873,2295,혼자 왔다
874,2296,혼자 왔다
875,2297,혼자 왔다
876,2299,혼자 왔다
877,2300,혼자 왔다
878,2302,혼자 왔다
879,2303,혼자 왔다
880,2307,혼자 왔다
881,2308,혼자 왔다
882,2312,혼자 왔다
883,2313,혼자 왔다
884,2314,혼자 왔다
885,2315,혼자 왔다
886,2320,혼자 왔다
887,2321,혼자 왔다
888,2323,혼자 왔다
889,2325,혼자 왔다
890,2326,혼자 왔다
891,2327,혼자 왔다
892,2331,혼자 왔다
893,2333,혼자 왔다
894,2334,혼자 왔다
895,2335,혼자 왔다
896,2336,혼자 왔다
897,2337,혼자 왔다
898,2342,혼자 왔다
899,2343,혼자 왔다
900,2344,혼자 왔다
901,2346,혼자 왔다
902,2348,혼자 왔다
903,2350,혼자 왔다
904,2358,혼자 왔다
905,2359,혼자 왔다
906,2367,혼자 왔다
907,2371,혼자 왔다
908,2374,혼자 왔다
909,2377,혼자 왔다
910,2381,혼자 왔다
911,2382,혼자 왔다
912,2383,혼자 왔다
913,2384,혼자 왔다
914,2385,혼자 왔다
915,2388,혼자 왔다
916,2390,혼자 왔다
917,2391,혼자 왔다
918,2407,혼자 왔다
919,2408,혼자 왔다
920,2410,혼자 왔다
921,2413,혼자 왔다
922,2414,혼자 왔다
923,2420,혼자 왔다
924,2421,혼자 왔다
925,2424,혼자 왔다
926,2427,혼자 왔다
927,2430,혼자 왔다
928,2432,혼자 왔다
929,2436,혼자 왔다
930,2437,혼자 왔다
931,2438,혼자 왔다
932,2439,혼자 왔다
933,2440,혼자 왔다
934,2441,혼자 왔다
935,2443,혼자 왔다
936,2444,혼자 왔다
937,2445,혼자 왔다
938,2446,혼자 왔다
939,2447,혼자 왔다
940,2448,혼자 왔다
941,2449,혼자 왔다
942,2450,혼자 왔다
943,2451,혼자 왔다
944,2452,혼자 왔다
945,2453,혼자 왔다
946,2456,혼자 왔다
947,2458,혼자 왔다
948,2465,혼자 왔다
949,2472,혼자 왔다
950,2474,혼자 왔다
951,2480,혼자 왔다
952,2483,혼자 왔다
953,2499,혼자 왔다
954,2500,혼자 왔다
955,2501,혼자 왔다
956,2502,혼자 왔다
957,2503,혼자 왔다
958,2504,혼자 왔다
959,2505,혼자 왔다
960,2509,혼자 왔다
961,2510,혼자 왔다
962,2520,혼자 왔다
963,2523,혼자 왔다
964,2527,혼자 왔다
965,2531,혼자 왔다
966,2537,혼자 왔다
967,2539,혼자 왔다
968,2540,혼자 왔다
969,2542,혼자 왔다
970,2543,혼자 왔다
971,2549,혼자 왔다
972,2550,혼자 왔다
973,2551,혼자 왔다
974,2553,혼자 왔다
975,2555,혼자 왔다
976,2557,혼자 왔다
977,2563,혼자 왔다
978,2564,혼자 왔다
979,2565,혼자 왔다
980,2567,혼자 왔다
981,2568,혼자 왔다
982,2570,혼자 왔다
983,2571,혼자 왔다
984,2574,혼자 왔다
985,2576,혼자 왔다
986,2577,혼자 왔다
987,2579,혼자 왔다
988,2580,혼자 왔다
989,2581,혼자 왔다
990,2583,혼자 왔다
991,2585,혼자 왔다
992,2586,혼자 왔다
993,2588,혼자 왔다
994,2589,혼자 왔다
995,2592,혼자 왔다
996,2597,혼자 왔다
997,2600,혼자 왔다
