OtherVisitID,VisitID,VisitCountry,BeforeAfterKoreaType
1207,8396,중국,After
1208,8400,일본,After
1209,8402,일본,After
1210,8411,홍콩,After
1211,8412,싱가포르,After
1212,8457,싱가포르,After
1213,8474,독일,After
1214,8478,중국,After
1215,8481,일본,After
1216,8520,캐나다,After
1217,8526,싱가포르,After
1218,8533,기타,After
1219,8557,기타,After
1220,8573,홍콩,After
1221,8686,일본,After
1222,8694,홍콩,After
1223,8704,일본,After
1224,8706,홍콩,After
1225,8710,기타,After
1226,8717,태국,After
1227,8745,기타,After
1228,8796,기타,After
1229,8809,중국,After
1230,8810,일본,After
1231,8821,중국,After
1232,8900,홍콩,After
1233,9114,일본,After
1234,9117,캐나다,After
1235,9138,중국,After
1236,9213,일본,After
1237,9220,기타,After
1238,9345,중국,After
